,abs_correlation
temp_nvme_Sensor 1_c,0.05928897395452468
temp_nvme_Composite_c,0.059072863793762614
temp_coretemp_Core 3_c_sock1,0.03954360048515212
temp_coretemp_Core 3_c,0.03954360048515212
temp_coretemp_Core 11_c_sock1,0.029279822505691232
temp_coretemp_Core 11_c,0.029279822505691232
cpu1_freq_mhz,0.02742657582079072
cpu7_freq_mhz,0.02676290421078732
temp_coretemp_Core 4_c_sock1,0.025610741916022507
temp_coretemp_Core 4_c,0.025610741916022507
loadavg_1m,0.024383525493378702
temp_coretemp_Core 8_c_sock1,0.024292203253938154
temp_coretemp_Core 8_c,0.024292203253938154
cpu2_freq_mhz,0.02397957219266521
temp_coretemp_Core 1_c,0.02360160026449905
temp_coretemp_Core 1_c_sock1,0.02360160026449905
tz_x86_pkg_temp_2_c,0.02251677838482457
temp_coretemp_Package id 1_c,0.019525337327342226
temp_coretemp_Core 0_c,0.019522507710960927
temp_coretemp_Core 0_c_sock1,0.019522507710960927
temp_coretemp_Core 2_c,0.018983977433599572
temp_coretemp_Core 2_c_sock1,0.018983977433599572
loadavg_15m,0.018868167215491755
net_enp47s0np0_rx_packets,0.018189835076898992
mem_cached_kb,0.017982819420783138
net_enp47s0np0_rx_bytes,0.017859812709937577
cpu27_freq_mhz,0.016783245645750185
cpu25_freq_mhz,0.01672513843543213
mem_free_kb,0.01649610594568738
temp_coretemp_Core 10_c_sock1,0.016370975055082355
temp_coretemp_Core 10_c,0.016370975055082355
mem_available_kb,0.016325188770982494
cpu26_freq_mhz,0.016082919530218384
mem_buffers_kb,0.015830441770582186
temp_coretemp_Core 9_c_sock1,0.014733058617452437
temp_coretemp_Core 9_c,0.014733058617452437
cpu22_freq_mhz,0.013584142662451304
temp_coretemp_Core 12_c,0.012439065479731738
temp_coretemp_Core 12_c_sock1,0.012439065479731738
cpu18_freq_mhz,0.012397892563115956
cpu21_freq_mhz,0.012309569530841688
temp_coretemp_Package id 0_c,0.012303527124887173
tz_x86_pkg_temp_1_c,0.011758426750794308
cpu4_freq_mhz,0.01141476615159314
cpu5_freq_mhz,0.011363333131024155
cpu24_freq_mhz,0.010904355837131143
net_enp47s0np0_tx_packets,0.010793999580121382
cpu3_freq_mhz,0.00908645314123838
cpu23_freq_mhz,0.008825261937202601
cpu29_freq_mhz,0.008268474948601624
tz_pch_lewisburg_0_c,0.008228150735726702
temp_pch_lewisburg_temp1_c,0.0076023871863413585
loadavg_5m,0.0072333245544360615
cpu34_freq_mhz,0.006755965968216484
cpu37_freq_mhz,0.006355293362362262
cpu9_freq_mhz,0.005975418518567635
cpu20_freq_mhz,0.005926455776217646
cpu38_freq_mhz,0.00583703278047804
cpu39_freq_mhz,0.0056065518297186475
cpu36_freq_mhz,0.00505725548996359
cpu6_freq_mhz,0.005021239625185471
cpu11_freq_mhz,0.004850707968488768
net_eno1_rx_packets,0.004644744699464971
cpu_idle_pct,0.004583814191186682
net_eno1_rx_bytes,0.004201438951230212
cpu_user_pct,0.004153211444748183
cpu_sys_pct,0.0040110358201091755
cpu13_freq_mhz,0.003615291423103314
cpu_iowait_pct,0.0034167814543804003
cpu15_freq_mhz,0.002760514289338256
cpu0_freq_mhz,0.0024810643612091744
cpu33_freq_mhz,0.002288470526085753
cpu28_freq_mhz,0.0022361066155893367
cpu14_freq_mhz,0.002099214837672585
procs_running,0.002035581406163352
cpu31_freq_mhz,0.0016180350426072945
mem_dirty_kb,0.001616889973805582
cpu17_freq_mhz,0.0011136091572703252
ctxt,0.0011040765459845562
cpu32_freq_mhz,0.0008744913716318254
net_enp47s0np0_tx_bytes,0.000796969970055934
cpu30_freq_mhz,0.000791300254146718
intr,0.000768618937205211
cpu8_freq_mhz,0.0007440245069519552
net_eno1_tx_bytes,0.0007377945470535539
cpu16_freq_mhz,0.0006402601942138943
net_eno1_tx_packets,0.000637395909006929
disk_sda_reads,0.0006315274496477592
cpu19_freq_mhz,0.0004894793002184864
disk_sdc_reads,0.0003761584759994789
disk_sdc_read_sectors,0.00035150031997612544
disk_sdb_read_sectors,0.00033991174248306774
disk_sdb_reads,0.000339911742483064
disk_sda_writes,0.0003352748421778333
cpu12_freq_mhz,0.00032101204509076795
disk_sda_read_sectors,0.00026763519504837915
cpu10_freq_mhz,0.00011896750876781342
cpu35_freq_mhz,0.00011741837510338753
disk_sda_write_sectors,0.00011335837651655018
procs_blocked,1.564246477716262e-05
