,abs_correlation
mem_free_kb,0.5284067956638706
mem_available_kb,0.47354742298316715
mem_cached_kb,0.31484176532595026
mem_buffers_kb,0.24703908096962565
temp_coretemp_Core 1_c,0.16347578875436933
temp_coretemp_Core 1_c_sock1,0.16347578875436933
temp_coretemp_Core 10_c_sock1,0.1527496410791662
temp_coretemp_Core 10_c,0.1527496410791662
temp_coretemp_Core 2_c,0.14586014364524688
temp_coretemp_Core 2_c_sock1,0.14586014364524688
temp_coretemp_Core 4_c_sock1,0.12415516941360341
temp_coretemp_Core 4_c,0.12415516941360341
temp_coretemp_Core 3_c,0.12325310857377328
temp_coretemp_Core 3_c_sock1,0.12325310857377328
temp_coretemp_Package id 1_c,0.11216885163531118
tz_x86_pkg_temp_2_c,0.11173154238737393
temp_coretemp_Core 9_c,0.08848268321424872
temp_coretemp_Core 9_c_sock1,0.08848268321424872
temp_coretemp_Core 11_c,0.08715539190334821
temp_coretemp_Core 11_c_sock1,0.08715539190334821
temp_pch_lewisburg_temp1_c,0.08037091207961611
tz_pch_lewisburg_0_c,0.07635778959180459
cstate_cpu0_C6_us,0.06907904253934127
ctxt,0.05820569504188094
cstate_cpu0_C1E_us,0.05399859353203975
temp_coretemp_Core 8_c,0.05226602786209858
temp_coretemp_Core 8_c_sock1,0.05226602786209858
cpu_sys_pct,0.052097069468735026
temp_coretemp_Core 0_c,0.05160710605268631
temp_coretemp_Core 0_c_sock1,0.05160710605268631
cstate_cpu0_C1_us,0.049863680446522556
temp_coretemp_Package id 0_c,0.04361828520576628
cstate_cpu1_C1_us,0.04022754052129312
cstate_cpu10_C1E_us,0.03559653251885856
cstate_cpu1_C6_us,0.034738123609871316
mem_dirty_kb,0.034170497678107696
tz_x86_pkg_temp_1_c,0.032321069311283396
temp_coretemp_Core 12_c,0.029732412242991044
temp_coretemp_Core 12_c_sock1,0.029732412242991044
cpu_idle_pct,0.029076293571657086
cstate_cpu10_C6_us,0.02810664406461285
net_eno2_tx_packets,0.027417013072879626
disk_sdb_read_sectors,0.02510454186962525
cstate_cpu1_C1E_us,0.0233872227835666
disk_sdb_reads,0.021992783225838218
cstate_cpu11_C1E_us,0.02065979242256986
intr,0.020260790429909237
disk_sda_reads,0.020019023742465593
disk_sda_read_sectors,0.019450721008695233
net_eno2_rx_packets,0.01680718420284598
loadavg_15m,0.01607702040306606
disk_sdb_write_sectors,0.015439421983636554
cpu_user_pct,0.015274120383148553
net_ens1np0_rx_packets,0.014461959021102677
cpu_iowait_pct,0.013684782604135992
net_eno1_rx_packets,0.013259522499719793
cstate_cpu10_POLL_us,0.010634793127980822
procs_running,0.01063138444735468
loadavg_5m,0.010393576698569839
net_eno1_rx_bytes,0.010314007187784927
disk_sda_writes,0.010297520904219142
net_ens1np0_tx_packets,0.009650252247969799
loadavg_1m,0.008591546724363165
cstate_cpu0_POLL_us,0.008511969394681133
disk_sdb_writes,0.008215839961742442
net_ens1np0_rx_bytes,0.007981018708656685
cstate_cpu1_POLL_us,0.0070583790072610295
net_eno1_tx_packets,0.006987283497909434
net_ens1np0_tx_bytes,0.005517774115133334
cstate_cpu11_C1_us,0.004992819181891017
cstate_cpu10_C1_us,0.003548452009224926
cstate_cpu11_POLL_us,0.0034704211084399454
net_eno2_tx_bytes,0.0032706833053966233
net_eno2_rx_bytes,0.0027224602208091604
disk_sda_write_sectors,0.0024840604468780304
cstate_cpu11_C6_us,0.001726250452701264
procs_blocked,0.0001264645129002048
net_eno1_tx_bytes,7.226367055102491e-05
