,abs_correlation
tz_pch_skylake_2_c,0.6352232959057007
temp_pch_skylake_temp1_c,0.6348906440410145
mem_cached_kb,0.46961934283070506
temp_nvme_Composite_c,0.44596442467486835
mem_free_kb,0.3959779869448539
temp_coretemp_Core 1_c,0.32049474272483564
temp_coretemp_Core 2_c,0.27528159514569756
temp_coretemp_Core 0_c,0.24923629715245943
temp_coretemp_Package id 0_c,0.21343688616241568
temp_coretemp_Core 3_c,0.20808967588096142
tz_x86_pkg_temp_3_c,0.1741835781090264
mem_available_kb,0.1629146497886871
loadavg_15m,0.08757103110589408
mem_buffers_kb,0.06454116354956961
loadavg_5m,0.052604171866866264
procs_running,0.049741500748731675
cstate_cpu0_C8_us,0.028051814527246265
cstate_cpu1_C6_us,0.024854363596294806
cstate_cpu0_C1E_us,0.024810889182716043
loadavg_1m,0.023655610496252213
cstate_cpu1_C8_us,0.022753451655592578
cstate_cpu1_C1E_us,0.02015552557615449
cstate_cpu0_C6_us,0.019190011410837773
cpu_idle_pct,0.015397071528587925
cpu_user_pct,0.014979966959532562
cstate_cpu1_C3_us,0.013156094149353446
mem_dirty_kb,0.013061090738136504
cpu_iowait_pct,0.012655295877275232
cstate_cpu0_C3_us,0.012391329306511451
cstate_cpu1_C7s_us,0.012009176123722765
cstate_cpu0_C7s_us,0.011658506264512083
disk_nvme0n1_writes,0.009678792034812343
disk_sda_write_sectors,0.0070887373554869865
ctxt,0.007082570330517778
intr,0.006816643341754824
disk_nvme0n1_write_sectors,0.006402362583692175
cpu_sys_pct,0.005669382771612599
disk_sda_writes,0.004181637121529373
cstate_cpu0_C1_us,0.003757830413230232
cstate_cpu1_C1_us,0.003741686806436377
net_enp0s31f6_tx_packets,0.0037369919687016075
net_br0_tx_packets,0.003444439044323338
net_br0_rx_packets,0.0029796893636266477
net_enp0s31f6_rx_packets,0.002919032445476021
net_br0_rx_bytes,0.002866223667976615
net_enp0s31f6_rx_bytes,0.0028655282356922413
cpu2_freq_mhz,0.00279784979527755
net_br0_tx_bytes,0.0027803422576489307
net_enp0s31f6_tx_bytes,0.002776860420578552
procs_blocked,0.0026187392392072535
cstate_cpu0_POLL_us,0.002604635986000006
disk_nvme0n1_reads,0.0025652908863534347
disk_nvme0n1_read_sectors,0.0025253793379378673
cstate_cpu1_POLL_us,0.002476693552430774
cpu1_freq_mhz,0.0024422903854477017
cpu4_freq_mhz,0.002023320854615007
cpu3_freq_mhz,0.0017914335352247138
disk_sda_read_sectors,0.0016511479400249877
disk_sda_reads,0.0016404859140520364
cpu5_freq_mhz,0.0013605836953870995
cpu7_freq_mhz,0.0012573191061628671
cpu0_freq_mhz,0.0010752049563899902
cpu6_freq_mhz,0.00050238143335573
temp_acpitz_temp2_c,3.629800984628476e-15
temp_acpitz_temp1_c,3.629800984628476e-15
tz_acpitz_1_c,3.629800984628476e-15
tz_acpitz_0_c,3.629800984628476e-15
