model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
chronos2-base,homelab,512,60,False,cuda,25,0.00038153521219889323,0.0006587587432143039,36.88292524001554,0.9819999999999999,0.0004274352179633246
chronos2-base,homelab,512,60,True,cuda,25,0.0003718338012695313,0.0006462916469350547,226.68551591998948,0.9840000000000001,0.0003928565555148655
chronos2-base,homelab,512,120,False,cuda,25,0.001413758595784505,0.005827191156029842,39.07926295996731,0.9783333333333333,0.0015477389229668513
chronos2-base,homelab,512,120,True,cuda,25,0.0012648633321126301,0.005630416615976595,285.74619051999434,0.9753333333333333,0.0014627942191229927
chronos2-base,homelab,512,300,False,cuda,25,0.009130476760864257,0.018091564925287514,47.69986260002952,0.8996,0.00800126847161187
chronos2-base,homelab,512,300,True,cuda,25,0.008666396967569987,0.01776957560799083,363.8231258799624,0.8965333333333334,0.008091500320434571
chronos2-base,homelab,1024,60,False,cuda,25,0.0015086663564046225,0.001587434470427523,38.80656340003043,0.9406666666666667,0.0025484456804063583
chronos2-base,homelab,1024,60,True,cuda,25,0.0011185359954833983,0.001222583979111402,496.959548320001,0.9359999999999999,0.0009714456346299913
chronos2-base,homelab,1024,120,False,cuda,25,0.009090724309285482,0.012915623067099292,40.19473287998153,0.9316666666666668,0.005696700541178387
chronos2-base,homelab,1024,120,True,cuda,25,0.0018616285324096682,0.002125530677074937,483.87505667999903,0.9266666666666667,0.002354833030700683
chronos2-base,homelab,1024,300,False,cuda,25,0.024136119206746423,0.030288940907422016,51.13282572000571,0.8003999999999999,0.02412663478427463
chronos2-base,homelab,1024,300,True,cuda,25,0.023387494405110672,0.0295183267211298,530.3122318799979,0.7985333333333332,0.018466658308241103
chronos2-base,homelab,1800,60,False,cuda,25,0.0003920472462972005,0.000599469341600499,38.9610917599839,0.9666666666666667,0.00025314759148491753
chronos2-base,homelab,1800,60,True,cuda,25,0.0004091224670410156,0.0006153588548494695,745.2512196799944,0.9440000000000001,0.00026877339680989585
chronos2-base,homelab,1800,120,False,cuda,25,0.0013382876714070637,0.0016198067897695183,41.84093376002238,0.9019999999999999,0.0010881425857543945
chronos2-base,homelab,1800,120,True,cuda,25,0.0011680606206258138,0.001400507013995983,758.926443399996,0.8226666666666667,0.0009333380381266275
chronos2-base,homelab,1800,300,False,cuda,25,0.005753096389770508,0.00721921444879361,59.7788601999946,0.8959999999999999,0.004218347549438477
chronos2-base,homelab,1800,300,True,cuda,25,0.006835982386271159,0.008582267158203115,842.2506197199892,0.7849333333333334,0.005717543614705404
chronos2-base,homelab,3600,60,False,cuda,25,0.0025672849019368494,0.002628491661018304,55.125593439988734,0.8973333333333333,0.0013184461805555556
chronos2-base,homelab,3600,60,True,cuda,25,0.0022076021830240884,0.0022680672068997117,1474.758313720022,0.9106666666666666,0.0012365972730848523
chronos2-base,homelab,3600,120,False,cuda,25,0.006153335571289064,0.0068544289294815665,44.58368828000857,0.7993333333333333,0.0046789482328626845
chronos2-base,homelab,3600,120,True,cuda,25,0.004871158917744954,0.00528841821737312,1424.698503519985,0.8466666666666667,0.004189993137783475
chronos2-base,homelab,3600,300,False,cuda,25,0.0448988161722819,0.05182985481476203,50.983647240027494,0.7154666666666667,0.04415488997565376
chronos2-base,homelab,3600,300,True,cuda,25,0.0450421178181966,0.05201370449846508,1511.4216909199783,0.7411999999999999,0.04405158431159126
chronos2-base,chameleon,512,60,False,cuda,25,0.1170758768717448,0.14956461702300117,37.66517804000614,0.772,0.10514328342013889
chronos2-base,chameleon,512,60,True,cuda,25,0.11597091674804688,0.15183013756416164,547.6717513999756,0.8086666666666668,0.10897506679958767
chronos2-base,chameleon,512,120,False,cuda,25,0.11573731231689452,0.16367109346084655,40.51498040000297,0.7086666666666668,0.10235571873982749
chronos2-base,chameleon,512,120,True,cuda,25,0.13620483398437502,0.18694503477661137,553.1540496399884,0.7123333333333334,0.1334267016092936
chronos2-base,chameleon,512,300,False,cuda,25,0.11539109802246093,0.19761712451965888,66.15808232003474,0.6881333333333332,0.10542448757595485
chronos2-base,chameleon,512,300,True,cuda,25,0.12635296529134116,0.21475549993359583,773.0878240400215,0.6930666666666666,0.29612390631781677
chronos2-base,chameleon,1024,60,False,cuda,25,0.04268661499023438,0.05881585437467474,41.2559376399895,0.8400000000000002,0.04720251125759549
chronos2-base,chameleon,1024,60,True,cuda,25,0.04824523925781251,0.06501068672770767,973.6953492000429,0.8473333333333334,0.053550176662868924
chronos2-base,chameleon,1024,120,False,cuda,25,0.10191255950927734,0.21114704238657503,47.23825876000774,0.7556666666666666,0.10078936428493923
chronos2-base,chameleon,1024,120,True,cuda,25,0.10702129618326822,0.22003031400187642,988.4880460800285,0.7606666666666666,0.10608524000379774
chronos2-base,chameleon,1024,300,False,cuda,25,0.12385372924804688,0.2488942373707838,56.94529184001112,0.6538666666666667,0.10775603681776257
chronos2-base,chameleon,1024,300,True,cuda,25,0.13357770385742188,0.2443029988705955,1167.7897195199878,0.7174666666666666,0.139658922390408
chronos2-base,chameleon,1800,60,False,cuda,25,0.07258333841959635,0.09834756121653118,39.27742759998182,0.8286666666666668,0.07481097581651476
