model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
chronos2-small,homelab,512,60,False,cpu,25,0.0003882350921630859,0.0006620714278312917,122.47717348000151,0.9866666666666667,0.00041532711452907996
chronos2-small,homelab,512,60,True,cpu,25,0.00037218157450358074,0.0006436386937508975,3023.1181957600033,0.9873333333333334,0.00039579883151584207
chronos2-small,homelab,512,120,False,cpu,25,0.0013904781341552734,0.005788922658824897,99.1499647199953,0.9736666666666668,0.00148056452009413
chronos2-small,homelab,512,120,True,cpu,25,0.0012695741653442382,0.005625279925778278,3373.641840560008,0.9783333333333333,0.0013615859137641056
chronos2-small,homelab,512,300,False,cpu,25,0.008268314997355143,0.016875557303080314,124.14258175999748,0.8981333333333333,0.007658377431233725
chronos2-small,homelab,512,300,True,cpu,25,0.006878265380859375,0.015109166834400112,4303.978657479993,0.8797333333333333,0.0072688606855604385
chronos2-small,homelab,1024,60,False,cpu,25,0.0026317596435546874,0.0029081431926684526,125.78097455998432,0.9253333333333333,0.0030979604932996957
chronos2-small,homelab,1024,60,True,cpu,25,0.001322080612182617,0.0014405619535500715,5758.505629440016,0.94,0.0021821841345893013
chronos2-small,homelab,1024,120,False,cpu,25,0.006583879470825195,0.00953442235051586,148.29512587999488,0.9216666666666665,0.005144795989990233
chronos2-small,homelab,1024,120,True,cpu,25,0.006358232816060383,0.008807912400889137,6545.760825320051,0.9309999999999999,0.006457973988850911
chronos2-small,homelab,1024,300,False,cpu,25,0.02376855735778809,0.029544762065487874,181.10912968000775,0.7959999999999999,0.02386286513434516
chronos2-small,homelab,1024,300,True,cpu,25,0.023557859675089516,0.0292811731768528,7397.137168200006,0.7745333333333333,0.02417011823018392
chronos2-small,homelab,1800,60,False,cpu,25,0.00019139671325683593,0.00024692555012989064,173.8546471600148,0.9673333333333334,0.0002136845482720269
chronos2-small,homelab,1800,60,True,cpu,25,0.00026899274190266925,0.0003197973629382401,10343.99979144002,0.9626666666666667,0.0002481649610731336
chronos2-small,homelab,1800,120,False,cpu,25,0.0010283988316853842,0.0012281455728506085,232.55403459998888,0.9229999999999999,0.0010413121965196397
chronos2-small,homelab,1800,120,True,cpu,25,0.0012126814524332683,0.0014337888456250184,11111.28582200002,0.879,0.0011447211371527777
chronos2-small,homelab,1800,300,False,cpu,25,0.005577425638834636,0.006866748731677666,208.3647485599613,0.9074666666666666,0.0044457932111952045
chronos2-small,homelab,1800,300,True,cpu,25,0.005805457941691081,0.00720033657996007,11878.940456120015,0.8566666666666667,0.005001576953464084
chronos2-small,homelab,3600,60,False,cpu,25,0.0019475669860839844,0.0020892448944423337,343.83620651995443,0.922,0.0012756017473008897
chronos2-small,homelab,3600,60,True,cpu,25,0.0019335447947184242,0.002162264789073442,20686.026499,0.8493333333333334,0.0013583655463324654
chronos2-small,homelab,3600,120,False,cpu,25,0.004008062044779459,0.004510234117926045,367.2339376399941,0.8326666666666667,0.0043196509043375644
chronos2-small,homelab,3600,120,True,cpu,25,0.004967649777730306,0.005480604247227279,22557.25745388006,0.8193333333333334,0.0043295443428887255
chronos2-small,homelab,3600,300,False,cpu,25,0.045359769058227535,0.05245011265290201,374.4590000400058,0.7633333333333334,0.04463237970140244
chronos2-small,homelab,3600,300,True,cpu,25,0.04500750783284506,0.05202401329457321,25642.257920040047,0.7066666666666667,0.04462335493299697
chronos2-small,chameleon,512,60,False,cpu,25,0.11656910705566405,0.15000040498906955,91.2210719200084,0.7759999999999999,0.10105128885904949
chronos2-small,chameleon,512,60,True,cpu,25,0.11485421752929689,0.1489196631424125,7132.909056880125,0.77,0.10467289293077257
chronos2-small,chameleon,512,120,False,cpu,25,0.1293208465576172,0.19176712691555506,100.91210103986668,0.7043333333333334,0.10923967454698351
chronos2-small,chameleon,512,120,True,cpu,25,0.12294967397054035,0.16509697686996425,7942.367187040036,0.7140000000000001,0.10380344950358074
chronos2-small,chameleon,512,300,False,cpu,25,0.1470521250406901,0.23355851177229436,118.9975531199525,0.6569333333333333,0.1192541869099935
chronos2-small,chameleon,512,300,True,cpu,25,0.10321429239908854,0.17248625783521454,10766.541344039979,0.6226666666666667,0.10866445376925998
chronos2-small,chameleon,1024,60,False,cpu,25,0.057324574788411464,0.08321866383993197,152.97024479990796,0.8206666666666668,0.061178737894694
chronos2-small,chameleon,1024,60,True,cpu,25,0.045637817382812494,0.061695421358950536,13646.819147079987,0.8000000000000002,0.04980940144856771
chronos2-small,chameleon,1024,120,False,cpu,25,0.10184130350748699,0.20978029412592053,145.39602992004802,0.7566666666666666,0.1000639370388455
chronos2-small,chameleon,1024,120,True,cpu,25,0.1009168472290039,0.20749420103915775,13558.070476880095,0.7696666666666667,0.09766030324300129
chronos2-small,chameleon,1024,300,False,cpu,25,0.11510995992024739,0.21691650053778797,157.30282919990714,0.6741333333333333,0.10240856109619141
chronos2-small,chameleon,1024,300,True,cpu,25,0.1174506113688151,0.20849582373278552,16775.28614592,0.7430666666666668,0.11573959971110026
chronos2-small,chameleon,1800,60,False,cpu,25,0.07249494425455731,0.09850761891703472,181.17742467995413,0.8253333333333334,0.07155089586046005
chronos2-small,chameleon,1800,60,True,cpu,25,0.07272739664713541,0.09874813820915274,25444.204312679944,0.8246666666666667,0.0713321285671658
chronos2-small,chameleon,1800,120,False,cpu,25,0.06275792694091797,0.10270921198113013,191.77048039997317,0.8286666666666668,0.06505711178249783
chronos2-small,chameleon,1800,120,True,cpu,25,0.07499998982747397,0.11825805480605238,26363.289534160103,0.8046666666666666,0.07702378845214844
chronos2-small,chameleon,1800,300,False,cpu,25,0.09309304911295574,0.16116486824369594,214.92791135995503,0.6736000000000001,0.09008030141194662
chronos2-small,chameleon,1800,300,True,cpu,25,0.09438245442708335,0.1563024722698604,29046.498325639986,0.6990666666666668,0.08987921152750651
chronos2-small,chameleon,3600,60,False,cpu,25,0.06248037211100261,0.0938245434297678,352.3233536800035,0.8046666666666666,0.06378310241699219
chronos2-small,chameleon,3600,60,True,cpu,25,0.07964944458007812,0.11278811377106182,49826.77977676001,0.804,0.07069867655436197
chronos2-small,chameleon,3600,120,False,cpu,25,0.17512344868977867,0.3415118934890183,321.842366439887,0.7796666666666667,0.17413749881320528
chronos2-small,chameleon,3600,120,True,cpu,25,0.19101310221354167,0.3508072410838373,51297.92009823992,0.784,0.17536313154432506
chronos2-small,chameleon,3600,300,False,cpu,25,0.22780894775390625,0.4077902782129825,339.3347236799309,0.7106666666666667,0.20773265082465275
chronos2-small,chameleon,3600,300,True,cpu,25,0.2261178009033203,0.40519220915140386,54151.576951120005,0.7885333333333334,0.2066303685167101
chronos2-small,ares,512,60,False,cpu,25,2.5052388509114586e-05,3.655631249722678e-05,93.1857163998211,0.9573333333333334,4.951121012369791e-05
chronos2-small,ares,512,60,True,cpu,25,3.2290140787760415e-05,4.504842455298102e-05,3612.9391307599144,0.9440000000000001,5.117229885525174e-05
chronos2-small,ares,512,120,False,cpu,25,0.00013741874694824218,0.0001760428099039088,98.81280903980951,0.922,0.00017730831570095487
chronos2-small,ares,512,120,True,cpu,25,0.00012839444478352866,0.00016534917429400357,4056.097257079964,0.9216666666666667,0.0001752922905815972
chronos2-small,ares,512,300,False,cpu,25,0.001552321116129557,0.0025107832176832806,118.19795868017536,0.8331999999999999,0.0015813808695475263
chronos2-small,ares,512,300,True,cpu,25,0.0014785410563151042,0.002397134526957257,5287.905485480005,0.83,0.0015605402119954425
chronos2-small,ares,1024,60,False,cpu,25,5.833816528320313e-05,6.47598184050241e-05,139.89991707989248,0.9973333333333333,8.911395602756077e-05
chronos2-small,ares,1024,60,True,cpu,25,8.747100830078125e-05,9.32519101917199e-05,7477.467511920113,0.9766666666666666,0.00010835232204861111
chronos2-small,ares,1024,120,False,cpu,25,0.0008265018463134765,0.0009251853801161004,152.2746480799833,0.8556666666666666,0.0008985918256971571
chronos2-small,ares,1024,120,True,cpu,25,0.0008373648325602213,0.0009344284329998829,7715.817759559942,0.8686666666666667,0.0009021915859646266
chronos2-small,ares,1024,300,False,cpu,25,0.0007779747009277343,0.001131315010301929,156.2708800798282,0.8298666666666666,0.0009843738471137153
chronos2-small,ares,1024,300,True,cpu,25,0.0008174107869466146,0.0011870900450862375,8815.98966536003,0.8342666666666666,0.0009752453952365451
chronos2-small,ares,1800,60,False,cpu,25,0.00010480117797851563,0.00011505012322797466,203.4758516799775,0.9313333333333332,7.84976535373264e-05
chronos2-small,ares,1800,60,True,cpu,25,0.0001102460225423177,0.00011820951267222336,12174.93340192006,0.9259999999999999,9.043706258138021e-05
chronos2-small,ares,1800,120,False,cpu,25,0.00012566439310709638,0.0001418344812861639,234.48815675990772,0.951,0.00014914627075195312
chronos2-small,ares,1800,120,True,cpu,25,0.0001280949910481771,0.00015016462406853895,12521.136400320029,0.9280000000000002,0.00014993972778320314
chronos2-small,ares,1800,300,False,cpu,25,0.0009525530497233071,0.0014858513404239083,215.1468757999828,0.9230666666666667,0.001114220716688368
chronos2-small,ares,1800,300,True,cpu,25,0.0009072359720865886,0.0014275100674067866,13279.63358196008,0.8908000000000001,0.0009792147827148438
chronos2-small,ares,3600,60,False,cpu,25,0.00010582733154296874,0.00011835743213059622,350.4317533599533,0.9046666666666667,9.48360866970486e-05
chronos2-small,ares,3600,60,True,cpu,25,0.00012023162841796874,0.0001337186720632306,23644.54436835986,0.888,0.00010553521050347221
chronos2-small,ares,3600,120,False,cpu,25,0.00020014254252115885,0.0002277628253995091,357.4511712797539,0.8786666666666667,0.00014451082017686632
chronos2-small,ares,3600,120,True,cpu,25,0.00017521476745605471,0.00020732885579969617,23969.438683160042,0.8853333333333333,0.00012967084248860676
chronos2-small,ares,3600,300,False,cpu,25,0.0007224558512369791,0.0012081771666634519,349.5934374400531,0.8816000000000002,0.0005857935757107204
chronos2-small,ares,3600,300,True,cpu,25,0.0005730913798014323,0.0007182077907572786,25522.179122840098,0.8912,0.0005304881286621095
chronos2-small,ares-comp-10,512,60,False,cpu,25,0.0683279202779134,0.09631400223029252,138.11666632020206,0.8246666666666667,0.05253532638549804
chronos2-small,ares-comp-10,512,60,True,cpu,25,0.0731739870707194,0.10051509151908564,4503.031503920065,0.7613333333333333,0.058410546239217126
chronos2-small,ares-comp-10,512,120,False,cpu,25,0.11371047973632811,0.15333462855997324,92.7802146400063,0.7133333333333334,0.09457705177730985
chronos2-small,ares-comp-10,512,120,True,cpu,25,0.11833162307739256,0.16405247514689844,5019.718756439906,0.7003333333333334,0.10344304960038928
chronos2-small,ares-comp-10,512,300,False,cpu,25,0.0964629234313965,0.16424286593142057,121.25962695987255,0.6770666666666666,0.08465649583604601
chronos2-small,ares-comp-10,512,300,True,cpu,25,0.09591970138549805,0.16871196740734803,6453.941638359903,0.7232,0.08750890598720973
