model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
granite-ttm,homelab,512,60,False,cpu,25,0.982370599746704,1.107163459083854,23.23034120000102,,
granite-ttm,homelab,512,120,False,cpu,25,1.6310378189086914,1.8075713754387905,17.115726280007948,,
granite-ttm,homelab,512,300,False,cpu,25,2.2021894755045572,2.305346156593502,11.720390800005589,,
granite-ttm,homelab,1024,60,False,cpu,25,0.007607183456420896,0.008020191897921995,14.586264840004333,,
granite-ttm,homelab,1024,120,False,cpu,25,0.020722659746805826,0.02138544300024961,18.391151600008016,,
granite-ttm,homelab,1024,300,False,cpu,25,0.025908576329549158,0.030705465749162532,12.32507679999344,,
granite-ttm,homelab,1800,60,False,cpu,25,0.0025696811676025394,0.002951897701335957,8.451952079985858,,
granite-ttm,homelab,1800,120,False,cpu,25,0.0058520622253417955,0.006500166611594227,8.713953120018232,,
granite-ttm,homelab,1800,300,False,cpu,25,0.013921213658650716,0.014389023500139517,8.298226560009425,,
granite-ttm,homelab,3600,60,False,cpu,25,0.013168546040852864,0.014688784871870877,10.184249159997307,,
granite-ttm,homelab,3600,120,False,cpu,25,0.033624882698059085,0.0357108497814853,8.614779759991507,,
granite-ttm,homelab,3600,300,False,cpu,25,0.05300189793904622,0.06017114426906928,8.365031239991367,,
granite-ttm,chameleon,512,60,False,cpu,25,2.8575019098917642,3.1623549825355544,8.301483080017533,,
granite-ttm,chameleon,512,120,False,cpu,25,4.49401355234782,4.94576888277141,12.383839519989124,,
granite-ttm,chameleon,512,300,False,cpu,25,6.145797026570637,6.423444402577117,8.171737319985368,,
granite-ttm,chameleon,1024,60,False,cpu,25,0.05797593688964844,0.07152799130630631,8.174346200012224,,
granite-ttm,chameleon,1024,120,False,cpu,25,0.11943629964192708,0.21986175543015413,8.465220800003408,,
granite-ttm,chameleon,1024,300,False,cpu,25,0.10871919148763022,0.1933109917713943,13.071515480014568,,
granite-ttm,chameleon,1800,60,False,cpu,25,0.10107630920410157,0.12997996227928213,8.34168263999345,,
granite-ttm,chameleon,1800,120,False,cpu,25,0.10277630360921224,0.13761201773675485,9.23902271998486,,
granite-ttm,chameleon,1800,300,False,cpu,25,0.08475770263671877,0.13813869980725718,8.715320319993225,,
granite-ttm,chameleon,3600,60,False,cpu,25,0.081600824991862,0.11278378807219604,12.234656519990494,,
granite-ttm,chameleon,3600,120,False,cpu,25,0.20069147745768226,0.35170397610940496,8.42875167999864,,
granite-ttm,chameleon,3600,300,False,cpu,25,0.2566594319661458,0.4327431366836184,8.712725679997675,,
granite-ttm,ares,512,60,False,cpu,25,1.3208361384073894,1.4545656847639656,8.19595520000803,,
granite-ttm,ares,512,120,False,cpu,25,2.0600586859385173,2.2597897669212155,12.705217880011332,,
granite-ttm,ares,512,300,False,cpu,25,2.8245590746561686,2.9517755756434623,8.553588799986755,,
granite-ttm,ares,1024,60,False,cpu,25,0.004057116190592448,0.0043854339732088835,8.776909559987871,,
granite-ttm,ares,1024,120,False,cpu,25,0.00702739969889323,0.007546087221572709,8.362089640017984,,
granite-ttm,ares,1024,300,False,cpu,25,0.0072104085286458335,0.0076205078022637705,13.037915080003586,,
granite-ttm,ares,1800,60,False,cpu,25,0.0040288734436035156,0.00436484904765494,8.717720760014345,,
granite-ttm,ares,1800,120,False,cpu,25,0.0056689097086588544,0.006088409307635104,9.142559320007422,,
granite-ttm,ares,1800,300,False,cpu,25,0.006903239186604818,0.007328060095401215,8.55410476000543,,
granite-ttm,ares,3600,60,False,cpu,25,0.0037446378072102863,0.004058996107322894,8.567270960002134,,
granite-ttm,ares,3600,120,False,cpu,25,0.005192310969034831,0.005561334350798093,12.804461879986775,,
granite-ttm,ares,3600,300,False,cpu,25,0.005545917510986328,0.005720455578743356,8.22887432000698,,
granite-ttm,ares-comp-10,512,60,False,cpu,25,1.5419299195607505,1.740436047179916,8.706483920004757,,
granite-ttm,ares-comp-10,512,120,False,cpu,25,2.730639985084534,3.0252712411469957,8.298156879982344,,
granite-ttm,ares-comp-10,512,300,False,cpu,25,3.6703050690968833,3.8505627581487416,13.67198591999113,,
granite-ttm,ares-comp-10,1024,60,False,cpu,25,0.05485838317871094,0.0877762741383994,9.429550840004595,,
granite-ttm,ares-comp-10,1024,120,False,cpu,25,0.07530430412292481,0.1007164572751451,11.825243040002533,,
granite-ttm,ares-comp-10,1024,300,False,cpu,25,0.08279808629353841,0.13455354806466088,13.341012240002783,,
granite-ttm,ares-comp-10,1800,60,False,cpu,25,0.054315628051757804,0.06855842196181983,17.85202496000693,,
granite-ttm,ares-comp-10,1800,120,False,cpu,25,0.11181700706481934,0.29639907932271853,11.450787039993884,,
granite-ttm,ares-comp-10,1800,300,False,cpu,25,0.15371195805867513,0.29965824164328914,12.312956880000456,,
granite-ttm,ares-comp-10,3600,60,False,cpu,25,0.11281448109944663,0.28383514080512284,18.299532639998688,,
granite-ttm,ares-comp-10,3600,120,False,cpu,25,0.08477795728047688,0.21455825205849713,14.236857000009877,,
granite-ttm,ares-comp-10,3600,300,False,cpu,25,0.09068795776367188,0.17164264397386134,13.964134119996743,,
