model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
timesfm-2.5,homelab,512,60,False,cpu,25,0.0004667186737060548,0.0007493169557846757,908.1279560400026,0.7700000000000001,0.0004587485694885254
timesfm-2.5,homelab,512,60,True,cpu,25,0.0022752361672840576,0.002875173112502139,963.1230252399973,,
timesfm-2.5,homelab,512,120,False,cpu,25,0.0014762458801269532,0.005854646950664256,825.0946043600015,0.7793333333333333,0.001453209390640259
timesfm-2.5,homelab,512,120,True,cpu,25,0.0039298732999837665,0.008713151611764704,959.2673412000158,,
timesfm-2.5,homelab,512,300,False,cpu,25,0.006971015040079754,0.015161421263468004,1905.4819112800076,0.6308,0.007403972843170166
timesfm-2.5,homelab,512,300,True,cpu,25,0.06740971112341582,0.23591205974620597,2005.5566283999908,,
timesfm-2.5,homelab,1024,60,False,cpu,25,0.0005340760548909505,0.0005909162316321785,1273.4640935199877,0.46733333333333327,0.0012003281529744468
timesfm-2.5,homelab,1024,60,True,cpu,25,0.005346242884615865,0.0062688396290429375,1265.9180811200122,,
timesfm-2.5,homelab,1024,120,False,cpu,25,0.008684981664021811,0.00998355236937437,1209.6720452400132,0.4466666666666667,0.007897102670669558
timesfm-2.5,homelab,1024,120,True,cpu,25,0.012367816092080859,0.013649862007539683,1303.2552497200231,,
timesfm-2.5,homelab,1024,300,False,cpu,25,0.023626107025146482,0.029227293010705903,2295.7613371999923,0.39946666666666664,0.023843169576009116
timesfm-2.5,homelab,1024,300,True,cpu,25,0.17007483561100464,0.20189056658971985,2442.1634698399976,,
timesfm-2.5,homelab,1800,60,False,cpu,25,0.00022708892822265625,0.0002917606616584391,1236.4166868400116,0.43266666666666664,0.0004085921287536621
timesfm-2.5,homelab,1800,60,True,cpu,25,0.004778388793448195,0.005913579805550541,1554.2198154000105,,
timesfm-2.5,homelab,1800,120,False,cpu,25,0.0009401458104451498,0.001129242662343915,1240.6851611600177,0.4196666666666667,0.001372770611445109
timesfm-2.5,homelab,1800,120,True,cpu,25,0.008246473887272308,0.009842936603935336,1344.833989120043,,
timesfm-2.5,homelab,1800,300,False,cpu,25,0.004326295725504557,0.004653343021623173,2414.0647373600223,0.38786666666666664,0.006498392777760824
timesfm-2.5,homelab,1800,300,True,cpu,25,0.02831140889517255,0.05230439642782336,2536.0402107599566,,
timesfm-2.5,homelab,3600,60,False,cpu,25,0.0021354249318440753,0.002309089191131749,1217.5949317999857,0.43666666666666665,0.0024418345260620116
timesfm-2.5,homelab,3600,60,True,cpu,25,0.012738207698114862,0.015206706068445142,1395.9993358000245,,
timesfm-2.5,homelab,3600,120,False,cpu,25,0.023230306307474774,0.02428070756344124,1235.3031453999938,0.4023333333333333,0.021031645304361978
timesfm-2.5,homelab,3600,120,True,cpu,25,0.027000131666026536,0.030809909015865108,1418.1165512400091,,
timesfm-2.5,homelab,3600,300,False,cpu,25,0.04469689941406249,0.051852445707711484,2453.427168240032,0.3064,0.04701183462778726
timesfm-2.5,homelab,3600,300,True,cpu,25,0.06172139579204613,0.07162834611887542,2480.6362371200066,,
timesfm-2.5,chameleon,512,60,False,cpu,25,0.14120898946126303,0.17641543320499717,878.3257822400082,0.3426666666666667,0.1345206475830078
timesfm-2.5,chameleon,512,60,True,cpu,25,1.8835994000997311,10.683415291618422,1023.2938255599765,,
timesfm-2.5,chameleon,512,120,False,cpu,25,0.15072211201985677,0.21649921679893286,853.7905068800045,0.28966666666666663,0.13876808565775553
timesfm-2.5,chameleon,512,120,True,cpu,25,15.227577576397291,157.6007456726488,1202.79491960001,,
timesfm-2.5,chameleon,512,300,False,cpu,25,0.13538339335123697,0.2364021043198029,2225.1883676400034,0.25466666666666665,0.13896399781290691
timesfm-2.5,chameleon,512,300,True,cpu,25,13.283502214587434,190.4043353450494,2115.920325199995,,
timesfm-2.5,chameleon,1024,60,False,cpu,25,0.041312550862630214,0.056662787374698424,1210.7323147200077,0.2733333333333334,0.0425922765604655
timesfm-2.5,chameleon,1024,60,True,cpu,25,2.4290700692936618,17.200210350732547,1341.0714135999933,,
timesfm-2.5,chameleon,1024,120,False,cpu,25,0.09535961151123047,0.2038838392423972,1219.0971573200022,0.166,0.09433092094421389
timesfm-2.5,chameleon,1024,120,True,cpu,25,1.3622584254118626,10.995709946541842,1295.5749623600332,,
timesfm-2.5,chameleon,1024,300,False,cpu,25,0.10005162658691408,0.18057524711679082,2347.000969880046,0.188,0.0925956960245768
