model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
granite-ttm,homelab,512,60,False,cuda,25,0.9823702621459962,1.1071631812596723,26.309260759999802,,
granite-ttm,homelab,512,120,False,cuda,25,1.6310375979741414,1.807571233228223,4.792068599996924,,
granite-ttm,homelab,512,300,False,cuda,25,2.2021892207463583,2.3053459538985357,4.942924639998978,,
granite-ttm,homelab,1024,60,False,cuda,25,0.0076073385874430325,0.008020330087529027,5.152991600000405,,
granite-ttm,homelab,1024,120,False,cuda,25,0.020722736358642583,0.02138552072349089,4.939039439999533,,
granite-ttm,homelab,1024,300,False,cuda,25,0.025908467102050782,0.03070531640819152,5.005987080000978,,
granite-ttm,homelab,1800,60,False,cuda,25,0.0025696436564127604,0.002951865476906712,5.005206879999946,,
granite-ttm,homelab,1800,120,False,cuda,25,0.005852201143900552,0.006500283291421878,4.824121200001628,,
granite-ttm,homelab,1800,300,False,cuda,25,0.01392110303243001,0.014388911053974726,4.830838000000881,,
granite-ttm,homelab,3600,60,False,cuda,25,0.013168752034505208,0.014689009202321928,5.493805600003725,,
granite-ttm,homelab,3600,120,False,cuda,25,0.033624893506368,0.03571085916677177,4.824018839998416,,
granite-ttm,homelab,3600,300,False,cuda,25,0.053000373077392575,0.06016958762643692,4.869590200001426,,
granite-ttm,chameleon,512,60,False,cuda,25,2.8575027872721352,3.162355871430462,4.745969200000104,,
granite-ttm,chameleon,512,120,False,cuda,25,4.494013080596924,4.9457683813222255,5.000876400000038,,
granite-ttm,chameleon,512,300,False,cuda,25,6.145796415201824,6.423443730034344,4.852982440000915,,
granite-ttm,chameleon,1024,60,False,cuda,25,0.0579762929280599,0.07152829426479866,4.774863520001418,,
granite-ttm,chameleon,1024,120,False,cuda,25,0.1194361317952474,0.2198617247173249,5.504306239996595,,
granite-ttm,chameleon,1024,300,False,cuda,25,0.10871763407389326,0.19330999136449337,4.808400800002346,,
granite-ttm,chameleon,1800,60,False,cuda,25,0.1010769449869792,0.12998068954844394,4.988568119999854,,
granite-ttm,chameleon,1800,120,False,cuda,25,0.10277813720703124,0.13761419241621836,4.95281795999631,,
granite-ttm,chameleon,1800,300,False,cuda,25,0.08475925394694012,0.13814012771695958,5.0579011600018475,,
granite-ttm,chameleon,3600,60,False,cuda,25,0.08160109456380209,0.11278395071002648,4.9315495999985615,,
granite-ttm,chameleon,3600,120,False,cuda,25,0.2006918665568034,0.3517043381113147,5.619019199991726,,
granite-ttm,chameleon,3600,300,False,cuda,25,0.25666089375813805,0.43274422207239505,4.846690199997283,,
granite-ttm,ares,512,60,False,cuda,25,1.3208377024332683,1.4545671692934596,4.810638679994099,,
granite-ttm,ares,512,120,False,cuda,25,2.06005988629659,2.2597908463015925,5.173618319998923,,
granite-ttm,ares,512,300,False,cuda,25,2.8245610048929852,2.951777445357738,5.513753720003933,,
granite-ttm,ares,1024,60,False,cuda,25,0.004057291666666667,0.004385606197161478,5.105481360001249,,
granite-ttm,ares,1024,120,False,cuda,25,0.007027079264322916,0.007545726703809105,4.851270399998384,,
granite-ttm,ares,1024,300,False,cuda,25,0.007200735473632813,0.007610718675926415,8.077229599998645,,
granite-ttm,ares,1800,60,False,cuda,25,0.004026290893554688,0.004362063020557142,6.853473239997356,,
granite-ttm,ares,1800,120,False,cuda,25,0.005671532313028971,0.0060911282849515115,6.4784726400012005,,
granite-ttm,ares,1800,300,False,cuda,25,0.006906049346923828,0.007330806524215491,6.644767839998167,,
granite-ttm,ares,3600,60,False,cuda,25,0.0037551180521647135,0.004070210885977446,6.0656808400028694,,
granite-ttm,ares,3600,120,False,cuda,25,0.005211094538370768,0.005581172092855263,6.94874671999969,,
granite-ttm,ares,3600,300,False,cuda,25,0.005549786122639974,0.005724328457727923,7.611240440003257,,
granite-ttm,ares-comp-10,512,60,False,cuda,25,1.5419298159281414,1.7404359281687545,7.7438113999994584,,
granite-ttm,ares-comp-10,512,120,False,cuda,25,2.7306397326787315,3.0252710796523137,7.843839320004236,,
granite-ttm,ares-comp-10,512,300,False,cuda,25,3.670305283737183,3.8505630164468205,5.670583960001068,,
granite-ttm,ares-comp-10,1024,60,False,cuda,25,0.05485833867390952,0.0877762443307609,4.8873840000010205,,
granite-ttm,ares-comp-10,1024,120,False,cuda,25,0.07530462074279784,0.10071666926404392,5.591523559999132,,
granite-ttm,ares-comp-10,1024,300,False,cuda,25,0.08279834187825522,0.13455372998918322,4.953088520002211,,
granite-ttm,ares-comp-10,1800,60,False,cuda,25,0.054315633138020826,0.06855843660921987,4.859656920000361,,
granite-ttm,ares-comp-10,1800,120,False,cuda,25,0.11181678581237792,0.29639904459941463,4.816886720000184,,
granite-ttm,ares-comp-10,1800,300,False,cuda,25,0.15371186548868812,0.299658192278643,4.918353959998285,,
granite-ttm,ares-comp-10,3600,60,False,cuda,25,0.11281464385986328,0.28383543589038274,4.879643239997904,,
granite-ttm,ares-comp-10,3600,120,False,cuda,25,0.08477799352010092,0.21455821202337114,5.53678539999737,,
granite-ttm,ares-comp-10,3600,300,False,cuda,25,0.09068803482055662,0.171642698205451,4.887599199998931,,
