model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
moirai-1.1-small,homelab,512,60,False,cuda,25,0.00038991546630859374,0.000663721420428132,31.188582200848032,0.9546666666666667,0.0004466636308034256
moirai-1.1-small,homelab,512,60,True,cuda,25,0.0004146200815836589,0.0006932492373924438,60.12412631971529,0.9446666666666667,0.0005642926565806081
moirai-1.1-small,homelab,512,120,False,cuda,25,0.0012763538360595704,0.00563812116037758,28.6888849598472,0.9363333333333332,0.0014334191443125404
moirai-1.1-small,homelab,512,120,True,cuda,25,0.0013224655787150066,0.005690345041656173,64.43785012030276,0.9646666666666667,0.0015980198567708327
moirai-1.1-small,homelab,512,300,False,cuda,25,0.006943521626790365,0.015171360437580722,31.2990809220355,0.8919999999999999,0.008928550342686976
moirai-1.1-small,homelab,512,300,True,cuda,25,0.011358671696980793,0.019719712108326026,60.35310943931108,0.8154666666666667,0.00920870904184977
moirai-1.1-small,homelab,1024,60,False,cuda,25,0.009824007670084635,0.010212264557971307,29.93940243963152,0.8206666666666668,0.006235290944417321
moirai-1.1-small,homelab,1024,60,True,cuda,25,0.010611694971720376,0.010882327821487636,143.88956143870018,0.8059999999999999,0.007388613062540695
moirai-1.1-small,homelab,1024,120,False,cuda,25,0.02613286018371582,0.02739484062250833,28.35971756023355,0.8140000000000001,0.02007955018679302
moirai-1.1-small,homelab,1024,120,True,cuda,25,0.022560901641845703,0.022990582776942773,144.91366367874434,0.8536666666666668,0.01361576466242473
moirai-1.1-small,homelab,1024,300,False,cuda,25,0.02443737386067709,0.03127179559591643,27.789287959749345,0.8150666666666666,0.022956323011144
moirai-1.1-small,homelab,1024,300,True,cuda,25,0.025626146062215173,0.03126743645097124,145.4552279607742,0.7110666666666665,0.024021985474014285
moirai-1.1-small,homelab,1800,60,False,cuda,25,0.0005961284637451172,0.0007233545621311864,28.994083160359878,0.7633333333333333,0.0005572607765197813
moirai-1.1-small,homelab,1800,60,True,cuda,25,0.0006328163146972657,0.0007326663419077301,369.2941852804506,0.8946666666666667,0.0010119164835611992
moirai-1.1-small,homelab,1800,120,False,cuda,25,0.001795970598856608,0.0023378104002452823,37.762782239879016,0.795,0.0020111768089930222
moirai-1.1-small,homelab,1800,120,True,cuda,25,0.0016161829630533856,0.0018906576979587939,364.71202316024574,0.8766666666666667,0.002564597522735598
moirai-1.1-small,homelab,1800,300,False,cuda,25,0.008840222040812175,0.010431257803466897,38.339162160409614,0.7497333333333333,0.009399507351175946
moirai-1.1-small,homelab,1800,300,True,cuda,25,0.005835808817545573,0.006657846383662243,362.6540657193982,0.9058666666666667,0.007035104138692219
moirai-1.1-small,homelab,3600,60,False,cuda,25,0.008772359848022462,0.009314443901189155,30.11582464008825,0.8446666666666667,0.007092374774297079
moirai-1.1-small,homelab,3600,60,True,cuda,25,0.019720731099446616,0.020458031086942222,1248.638755279535,0.8326666666666667,0.017188538421630862
moirai-1.1-small,homelab,3600,120,False,cuda,25,0.030670978228251138,0.03225905291750926,29.178711640415713,0.8333333333333333,0.03206776716105143
moirai-1.1-small,homelab,3600,120,True,cuda,25,0.038104323705037434,0.03902829194074216,1238.3306954795262,0.811,0.033040371312141416
moirai-1.1-small,homelab,3600,300,False,cuda,25,0.04750546544392903,0.05555547770137605,30.1454928793828,0.8055999999999999,0.04770151399459839
moirai-1.1-small,homelab,3600,300,True,cuda,25,0.053598747253417976,0.06112745282589826,1259.0865906391991,0.7519999999999999,0.05317993989156087
moirai-1.1-small,chameleon,512,60,False,cuda,25,0.11419709269205729,0.14518524869318314,28.56040115992073,0.7486666666666667,0.11228328851826991
moirai-1.1-small,chameleon,512,60,True,cuda,25,0.12427072652180988,0.1561735564956673,144.49069687951123,0.7066666666666667,0.11260356100972492
moirai-1.1-small,chameleon,512,120,False,cuda,25,0.12213505808512369,0.16442811301812665,36.83878584008198,0.6383333333333334,0.11216787027486166
moirai-1.1-small,chameleon,512,120,True,cuda,25,0.10672873179117838,0.14799331798634968,144.37375692039495,0.5996666666666667,0.1015856753285726
moirai-1.1-small,chameleon,512,300,False,cuda,25,0.09683122660319012,0.1657722663641129,29.963147720554844,0.6977333333333334,0.10956476915486656
moirai-1.1-small,chameleon,512,300,True,cuda,25,0.10130788879394532,0.16652401984891377,146.43161408021115,0.6545333333333333,0.10015728282775883
moirai-1.1-small,chameleon,1024,60,False,cuda,25,0.043432662963867184,0.058646382746701906,41.379734360962175,0.7473333333333333,0.04222763727823895
moirai-1.1-small,chameleon,1024,60,True,cuda,25,0.05460094706217448,0.06786444112603114,452.5080162406084,0.6580000000000001,0.042834658004760724
moirai-1.1-small,chameleon,1024,120,False,cuda,25,0.11332617950439454,0.21792537580854007,27.78916851966642,0.7286666666666668,0.1019656610361735
moirai-1.1-small,chameleon,1024,120,True,cuda,25,0.1149775619506836,0.21328064669248475,451.86423499922967,0.665,0.10332016412353515
moirai-1.1-small,chameleon,1024,300,False,cuda,25,0.0953006846110026,0.17463708985448811,28.58869852119824,0.7985333333333332,0.09551275970255535
moirai-1.1-small,chameleon,1024,300,True,cuda,25,0.0968931599934896,0.1809114364708318,451.28904071927536,0.7556,0.09084431233520508
moirai-1.1-small,chameleon,1800,60,False,cuda,25,0.09880772908528647,0.12617908048139442,28.613931600411888,0.8219999999999998,0.08459238635253909
moirai-1.1-small,chameleon,1800,60,True,cuda,25,0.12041299438476562,0.14845494147243588,1328.2996639990597,0.7506666666666666,0.10170704008992511
moirai-1.1-small,chameleon,1800,120,False,cuda,25,0.10003953043619793,0.13390390043926828,28.918953759712167,0.7913333333333334,0.09507165430450439
moirai-1.1-small,chameleon,1800,120,True,cuda,25,0.11957223002115885,0.15423861462003308,1324.3338578814291,0.7143333333333334,0.10350626404825848
moirai-1.1-small,chameleon,1800,300,False,cuda,25,0.09664831848144533,0.15119954161791838,28.332047240401153,0.7370666666666666,0.09138146518351238
moirai-1.1-small,chameleon,1800,300,True,cuda,25,0.09049581298828124,0.1422386330210906,1330.010059119959,0.7334666666666668,0.08407400379943847
moirai-1.1-small,chameleon,3600,60,False,cuda,25,0.07505612182617187,0.1078853166373644,29.51301759952912,0.8546666666666667,0.07164861979675292
moirai-1.1-small,chameleon,3600,120,False,cuda,25,0.20505622100830082,0.35163712220133375,29.484887240396347,0.7643333333333334,0.17597924872843426
moirai-1.1-small,chameleon,3600,300,False,cuda,25,0.21738378804524744,0.3935140326400607,31.04758824018063,0.7830666666666666,0.2029349954203288
moirai-1.1-small,ares,512,60,False,cuda,25,0.0021478500366210935,0.0024950244212243906,30.104146200174,0.9073333333333333,0.005012673837025961
moirai-1.1-small,ares,512,60,True,cuda,25,0.0005216000874837239,0.000546155559823455,66.39010251848958,0.9146666666666667,0.0005913760821024573
moirai-1.1-small,ares,512,120,False,cuda,25,0.001633106867472331,0.0021458135333747453,28.177628560224548,0.8576666666666667,0.0013110965620676681
moirai-1.1-small,ares,512,120,True,cuda,25,0.0005376135508219401,0.0005696679226817043,66.26328495971393,0.9103333333333333,0.0005147050189971916
moirai-1.1-small,ares,512,300,False,cuda,25,0.0016115765889485676,0.002675258636741534,33.622797440038994,0.8329333333333334,0.004244269697570812
moirai-1.1-small,ares,512,300,True,cuda,25,0.001576402791341146,0.0025149891784960942,71.24732691940153,0.7738666666666666,0.0017262179143269856
moirai-1.1-small,ares,1024,60,False,cuda,25,0.00028042856852213545,0.00030359980344706874,30.401459279528353,0.746,0.0002670365613301595
moirai-1.1-small,ares,1024,60,True,cuda,25,0.00045448811848958334,0.0004859661899355631,176.3245099192136,0.8646666666666667,0.0006587705345153819
moirai-1.1-small,ares,1024,120,False,cuda,25,0.00092109743754069,0.001017103112758669,28.39626511966344,0.7046666666666667,0.0009315126330057776
moirai-1.1-small,ares,1024,120,True,cuda,25,0.0008997726440429689,0.001006071158154848,176.2167847994715,0.794,0.001202388561248779
moirai-1.1-small,ares,1024,300,False,cuda,25,0.0010103874206542967,0.0015189597105606633,28.58111428009579,0.7497333333333333,0.0013026140429178877
moirai-1.1-small,ares,1024,300,True,cuda,25,0.0011072654724121093,0.0015035062224927381,174.58697428111918,0.8637333333333334,0.0016507994740804
moirai-1.1-small,ares,1800,60,False,cuda,25,0.00013291422526041667,0.00015101070683924196,36.66748007934075,0.694,0.00012908933385214906
moirai-1.1-small,ares,1800,60,True,cuda,25,0.0004994303385416666,0.0005186337031735857,457.8611955206725,0.7586666666666667,0.0004319490242004437
moirai-1.1-small,ares,1800,120,False,cuda,25,0.00020596758524576823,0.0002469499473028635,28.68624023947632,0.7813333333333334,0.0002029004052480172
moirai-1.1-small,ares,1800,120,True,cuda,25,0.0005729624430338542,0.0006010171415396321,460.62518888007617,0.752,0.0005726613864898717
moirai-1.1-small,ares,1800,300,False,cuda,25,0.000953112538655599,0.0014245894706110325,29.23704704036936,0.8414666666666666,0.0010315820933024164
moirai-1.1-small,ares,1800,300,True,cuda,25,0.0013120976765950518,0.0017493085828558519,461.41158195969183,0.7089333333333333,0.0012605253878275693
moirai-1.1-small,ares,3600,60,False,cuda,25,0.0003581733703613281,0.00039076891856710356,29.357125079841353,0.7673333333333333,0.00028220672225952613
moirai-1.1-small,ares,3600,60,True,cuda,25,0.0008219248453776042,0.0008779534454576998,1689.9498971604044,0.6566666666666667,0.0007708181597391811
