model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
timesfm-2.5,homelab,512,60,False,cuda,25,0.00046671930948893235,0.0007493177799397784,132.70587900000234,0.7700000000000001,0.0004587486712137858
timesfm-2.5,homelab,512,60,True,cuda,25,0.002275235371807522,0.0028751685157001115,222.9657905600004,,
timesfm-2.5,homelab,512,120,False,cuda,25,0.0014762452443440757,0.00585464651526717,103.78948500000094,0.7793333333333333,0.0014532092475891111
timesfm-2.5,homelab,512,120,True,cuda,25,0.003929908546307987,0.008713195181050548,149.03845324000145,,
timesfm-2.5,homelab,512,300,False,cuda,25,0.006971016438802083,0.015161423236257774,272.48769131999774,0.6308,0.0074039733492533375
timesfm-2.5,homelab,512,300,True,cuda,25,0.06742224366584053,0.23605606177955088,322.1091667600024,,
timesfm-2.5,homelab,1024,60,False,cuda,25,0.0005340760548909505,0.0005909157708798865,122.72754764000071,0.46733333333333327,0.0012003257179260254
timesfm-2.5,homelab,1024,60,True,cuda,25,0.005346371616905017,0.0062688809359118134,176.503878599998,,
timesfm-2.5,homelab,1024,120,False,cuda,25,0.00868498452504476,0.009983554780251303,127.31990791999804,0.4466666666666667,0.007897104911804198
timesfm-2.5,homelab,1024,120,True,cuda,25,0.0123665154699677,0.01364852661463575,141.3017348800031,,
timesfm-2.5,homelab,1024,300,False,cuda,25,0.023626106262207028,0.029227292250513827,316.7983276800021,0.39946666666666664,0.02384317212804159
timesfm-2.5,homelab,1024,300,True,cuda,25,0.17007994079484198,0.20189673640734881,310.1484246800044,,
timesfm-2.5,homelab,1800,60,False,cuda,25,0.0002270857493082682,0.0002917571509662794,144.28110200000106,0.43266666666666664,0.0004085910606384277
timesfm-2.5,homelab,1800,60,True,cuda,25,0.004778367446335103,0.005913557648911732,162.11506291999964,,
timesfm-2.5,homelab,1800,120,False,cuda,25,0.000940145492553711,0.0011292417377964047,121.19265656000267,0.4196666666666667,0.0013727713394165039
timesfm-2.5,homelab,1800,120,True,cuda,25,0.008247453422213913,0.009843920398553608,172.4741179199998,,
timesfm-2.5,homelab,1800,300,False,cuda,25,0.004326296234130859,0.004653343877193964,294.8148544399976,0.38786666666666664,0.006498392757415772
timesfm-2.5,homelab,1800,300,True,cuda,25,0.02831161275870545,0.05230333184261204,342.59066932000104,,
timesfm-2.5,homelab,3600,60,False,cuda,25,0.0021354236602783203,0.002309086668139236,122.91751919999682,0.43666666666666665,0.002441836344401042
timesfm-2.5,homelab,3600,60,True,cuda,25,0.012738199193299528,0.015206743694952278,201.41004511999995,,
timesfm-2.5,homelab,3600,120,False,cuda,25,0.02323031202952067,0.024280712647691726,120.74039107999964,0.4023333333333333,0.021031657400131222
timesfm-2.5,homelab,3600,120,True,cuda,25,0.027000112567453306,0.03080988667402221,157.64938431999553,,
timesfm-2.5,homelab,3600,300,False,cuda,25,0.04469690348307291,0.05185245774626143,314.7377008800049,0.3064,0.04701183779780069
timesfm-2.5,homelab,3600,300,True,cuda,25,0.06172162132082911,0.0716286263196317,357.97693724000965,,
timesfm-2.5,chameleon,512,60,False,cuda,25,0.14120893351236977,0.17641536454768436,102.89798999999903,0.3426666666666667,0.13452060531616214
timesfm-2.5,chameleon,512,60,True,cuda,25,1.8836287445831992,10.683666970216604,163.72929779999822,,
timesfm-2.5,chameleon,512,120,False,cuda,25,0.15072212727864584,0.21649924391225187,115.70071935999977,0.28966666666666663,0.1387680779012044
timesfm-2.5,chameleon,512,120,True,cuda,25,15.230193495007752,157.62963694103897,136.448942119996,,
timesfm-2.5,chameleon,512,300,False,cuda,25,0.13538335774739582,0.23640208730059573,268.7110532400061,0.25466666666666665,0.1389640425567627
timesfm-2.5,chameleon,512,300,True,cuda,25,13.28390607282099,190.4119349334004,322.3674596400065,,
timesfm-2.5,chameleon,1024,60,False,cuda,25,0.04131256612141927,0.05666279716215486,120.99069215999862,0.2733333333333334,0.04259228474934896
timesfm-2.5,chameleon,1024,60,True,cuda,25,2.429236065162695,17.20147508266371,188.50638596000638,,
