model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
toto,homelab,512,60,False,cuda,25,0.0004340756734212239,0.0007163395960407512,856.0052378799992,0.9873333333333334,0.0005994875647226961
toto,homelab,512,60,True,cuda,25,0.00044469197591145835,0.0007272439445317037,8274.276929279986,0.9873333333333334,0.000611683768590291
toto,homelab,512,120,False,cuda,25,0.001342032750447591,0.005715182046700022,1610.8975448400085,0.983,0.0015353897047042848
toto,homelab,512,120,True,cuda,25,0.0013717753092447914,0.005739585336420799,9798.247249119995,0.983,0.0015321872723897292
toto,homelab,512,300,False,cuda,25,0.0067629642486572265,0.014891201957088368,3914.7764424399975,0.9010666666666667,0.0070435388963063575
toto,homelab,512,300,True,cuda,25,0.006758741887410482,0.014890064167546539,14443.909046120027,0.9029333333333333,0.00709442142906189
toto,homelab,1024,60,False,cuda,25,0.0005808951059977213,0.0006305435511306458,946.1510165599611,0.9646666666666667,0.000692915459314982
toto,homelab,1024,60,True,cuda,25,0.0005934168497721354,0.0006438389173204829,14604.35687180001,0.9646666666666667,0.0007171506360371904
toto,homelab,1024,120,False,cuda,25,0.0006801077524820963,0.0007408684478519185,1670.3288184001576,0.9640000000000001,0.0012547242918014515
toto,homelab,1024,120,True,cuda,25,0.0007518561681111655,0.0008427461602703418,16216.767253840117,0.9640000000000001,0.001993907947540281
toto,homelab,1024,300,False,cuda,25,0.02306306559244791,0.028678248791291775,3966.898536040025,0.8325333333333333,0.02242903924776713
toto,homelab,1024,300,True,cuda,25,0.023091671244303388,0.02871153001207789,21025.580458520017,0.8336,0.021492191305160523
toto,homelab,1800,60,False,cuda,25,0.0002111275990804036,0.0002665898146082492,1247.0865076400514,0.9873333333333334,0.0003807774988810209
toto,homelab,1800,60,True,cuda,25,0.00023593902587890626,0.00029291194406417723,27275.369856040048,0.9793333333333334,0.0003963968385060631
toto,homelab,1800,120,False,cuda,25,0.0011255375544230145,0.0013335319331026693,1906.1634668800252,0.9126666666666666,0.0013252585239410394
toto,homelab,1800,120,True,cuda,25,0.001149897893269857,0.0013577641726811136,29009.693599080016,0.9113333333333332,0.0013018311745325703
toto,homelab,1800,300,False,cuda,25,0.0046772260030110676,0.005087464963647989,4116.041146760035,0.8817333333333335,0.0054311799620310455
toto,homelab,1800,300,True,cuda,25,0.004750868479410808,0.005178937166738212,34261.91217708001,0.8870666666666668,0.005520120377858479
toto,homelab,3600,60,False,cuda,25,0.0004944578806559245,0.0005197414164699394,2007.6324518797992,0.9553333333333334,0.0016150561790466281
toto,homelab,3600,60,True,cuda,25,0.0004355392456054687,0.0004613145044697175,53369.990896199895,0.9706666666666667,0.0005954966818491626
toto,homelab,3600,120,False,cuda,25,0.00264859930674235,0.0028150464425943642,2500.794302999857,0.8983333333333333,0.003766902055740357
toto,homelab,3600,120,True,cuda,25,0.0026000394821166996,0.002753549506570609,55441.770665480064,0.9203333333333333,0.0035856958681742346
toto,homelab,3600,300,False,cuda,25,0.044517350641886375,0.05149307067749107,4692.315228319931,0.8402666666666667,0.04505005063158671
toto,homelab,3600,300,True,cuda,25,0.04447913525899251,0.051450537547544126,61522.269319159815,0.8406666666666667,0.045287337151082366
toto,chameleon,512,60,False,cuda,25,0.11266748555501299,0.14554785726445515,839.1564594000374,0.8633333333333334,0.10746138145446778
toto,chameleon,512,60,True,cuda,25,0.11200050354003906,0.14508671626802566,8271.841562679765,0.8213333333333334,0.10458213575744629
toto,chameleon,512,120,False,cuda,25,0.12660357666015623,0.16990211749946518,1631.3791722399037,0.706,0.1205267179514567
