model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps
chronos2-small,homelab,512,60,False,cuda,25,0.0003882420857747,0.0006620727206489,59.81618360000084,0.9866666666666668,0.000415326224433
chronos2-small,homelab,512,60,True,cuda,25,0.0003781280517578,0.0006495174832929,89.90264659999866,0.9766666666666668,0.0004013592614067
chronos2-small,homelab,512,120,False,cuda,25,0.00139044825236,0.0057888945101662,27.97744476000844,0.9736666666666668,0.0014805528428819
chronos2-small,homelab,512,120,True,cuda,25,0.0012804241180419,0.0056353823574621,79.28778627999691,0.9673333333333334,0.0013690924962361
chronos2-small,homelab,512,300,False,cuda,25,0.0082682375590006,0.0168754669449776,34.03855431999091,0.8981333333333333,0.0076583516777886
chronos2-small,homelab,512,300,True,cuda,25,0.0069245618184407,0.0151645304745266,99.57532359998368,0.8770666666666667,0.0072856421576605
chronos2-small,homelab,1024,60,False,cuda,25,0.0026317615509033,0.0029081434191847,25.16314591999617,0.9253333333333332,0.0030979640960693
chronos2-small,homelab,1024,60,True,cuda,25,0.0011958446502685,0.0013086265773321,125.88024288000724,0.9413333333333332,0.0022573738521999
chronos2-small,homelab,1024,120,False,cuda,25,0.0065832087198893,0.0095336580934922,38.37976848000381,0.922,0.0051446280585394
chronos2-small,homelab,1024,120,True,cuda,25,0.0068106168111165,0.0095664348096625,122.25941456000328,0.9336666666666668,0.0070881144417656
chronos2-small,homelab,1024,300,False,cuda,25,0.0237688232421875,0.0295449686948784,35.70166776000406,0.7959999999999999,0.0238628646341959
chronos2-small,homelab,1024,300,True,cuda,25,0.0235733568827311,0.0292998846909855,139.79069316000732,0.7861333333333334,0.0242211297098795
chronos2-small,homelab,1800,60,False,cuda,25,0.0001914107004801,0.0002469477503983,26.02383735998956,0.9673333333333334,0.0002136921776665
chronos2-small,homelab,1800,60,True,cuda,25,0.0002689781188964,0.0003197817039102,178.3192054399933,0.9626666666666668,0.0002481593237982
chronos2-small,homelab,1800,120,False,cuda,25,0.0010283924738566,0.0012281393284059,28.49859639999977,0.923,0.0010413639704386
chronos2-small,homelab,1800,120,True,cuda,25,0.0012125727335611,0.0014336490675885,190.758705119988,0.8793333333333334,0.0011446655485365
chronos2-small,homelab,1800,300,False,cuda,25,0.0055775563557942,0.0068669146631959,36.93762863999382,0.9074666666666666,0.0044458633507622
chronos2-small,homelab,1800,300,True,cuda,25,0.0058055102030436,0.0072003933439811,215.72927584000357,0.8566666666666667,0.0050015982140435
chronos2-small,homelab,3600,60,False,cuda,25,0.0019475186665852,0.0020891962124123,29.18914639999457,0.9226666666666666,0.001275583521525
chronos2-small,homelab,3600,60,True,cuda,25,0.0019335117340087,0.002162232269424,333.48896583999704,0.8493333333333334,0.001358330408732
chronos2-small,homelab,3600,120,False,cuda,25,0.0040080741246541,0.00451025384323,42.75701419999223,0.8326666666666667,0.0043196554607815
chronos2-small,homelab,3600,120,True,cuda,25,0.0049675509134928,0.0054805135690061,330.2055623999922,0.8193333333333334,0.0043294999228583
