model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps,winkler,training_mode,ft_epochs,ft_time_s,ft_train_machines,experiment
chronos2-ft-E3_full_cov,homelab,512,60,False,cuda,25,0.00022775459289550785,0.00030842195389622104,32.61449832000153,0.9786666666666668,0.00024078258938259548,0.0024729658762613935,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,60,True,cuda,25,0.00026756223042805993,0.0003474754010350518,31.086778839996896,0.9646666666666667,0.0002455181121826172,0.0023449605305989585,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,120,False,cuda,25,0.0073576110204060866,0.011734266608334947,29.68921436000528,0.9306666666666665,0.007367004076639811,0.07371700604756674,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,120,True,cuda,25,0.007378295898437499,0.011758881875162613,32.52558571999543,0.9046666666666665,0.007377877468532985,0.07377668253580728,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,300,False,cuda,25,0.012987286504109699,0.01653954950136379,35.73441219999495,0.9078666666666667,0.01293186080932617,0.12904147961934406,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,300,True,cuda,25,0.013013352584838869,0.016573345914748582,40.80987767999886,0.8772,0.012989841740926105,0.12978086318969728,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,60,False,cuda,25,0.011939917882283525,0.015155826729645596,25.64339848000145,0.94,0.011967959721883135,0.11981980641682943,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,60,True,cuda,25,0.012114799499511717,0.01532746323447011,30.554590680003457,0.8266666666666665,0.012007269159952799,0.1195350399017334,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,120,False,cuda,25,0.0198473072052002,0.02679580105459101,31.258473000002596,0.9169999999999999,0.020791739103529192,0.21263955052693684,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,120,True,cuda,25,0.019711942036946612,0.026582432478144912,35.99432288000344,0.8816666666666666,0.021755623181660973,0.22777463754018146,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,300,False,cuda,25,0.03864809532165527,0.04706975278442052,39.41657555999427,0.7639999999999999,0.03913284635755751,0.3937522187550863,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,300,True,cuda,25,0.038441064834594724,0.04678136881818402,42.050469239991344,0.7324,0.038618536783854164,0.38707272758483896,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,512,60,False,cuda,25,0.01161865234375,0.013153997539153367,26.098684760002016,0.902,0.011516499498155381,0.11465423075358075,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,512,60,True,cuda,25,0.011575169881184894,0.01313304858945285,29.75200252000377,0.8546666666666667,0.011391443549262154,0.11299580383300781,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,512,120,False,cuda,25,0.01480895487467448,0.017086487670708247,27.795655239995085,0.7909999999999999,0.013596514044867622,0.12990293629964195,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,512,120,True,cuda,25,0.01520452372233073,0.01746080683212407,32.73520040000449,0.8023333333333333,0.013803845384385852,0.13103506215413413,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,512,300,False,cuda,25,0.025228289794921876,0.031181350688970683,35.72218483999677,0.5826666666666667,0.019346214463975695,0.16405176798502605,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,512,300,True,cuda,25,0.025796988932291667,0.03197195665691079,40.95383007999999,0.6209333333333334,0.020111477728949653,0.17268722127278646,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,1024,60,False,cuda,25,0.005219253540039063,0.006923613884640038,25.682770439996148,0.7980000000000002,0.004753290812174479,0.04520309448242187,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,1024,60,True,cuda,25,0.005135345458984374,0.006837610291504631,30.57565636000163,0.8766666666666667,0.005026114230685764,0.04971498616536457,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,1024,120,False,cuda,25,0.007904563903808594,0.0109467806445937,28.333613679997143,0.7976666666666666,0.006753120252821179,0.06177398427327474,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,1024,120,True,cuda,25,0.007868131001790363,0.010915655078458866,33.24228056000038,0.8083333333333335,0.00710850338406033,0.06728689575195312,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,1024,300,False,cuda,25,0.02373131306966146,0.027482119634450523,36.672341999990294,0.6257333333333333,0.019466401095920138,0.1733394510904948,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,chameleon,1024,300,True,cuda,25,0.023862153116861975,0.027952966652283383,42.22757503999674,0.6580000000000001,0.019079636840820317,0.16688378702799483,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,512,60,False,cuda,25,0.0005389480590820312,0.0008747290158251788,25.638374839993503,0.9740000000000001,0.0005386922200520833,0.005385643005371093,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,512,60,True,cuda,25,0.0005396842956542969,0.0008760034751860901,29.93048935999468,0.9440000000000001,0.000551216803656684,0.005569830576578776,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,512,120,False,cuda,25,0.0005222403208414713,0.0008781140960641655,28.185125240004254,0.9730000000000001,0.0005489123026529947,0.005622482935587565,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,512,120,True,cuda,25,0.00052850341796875,0.0008865872188024199,33.148687039995366,0.9683333333333334,0.0005623246086968316,0.005792352040608724,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,512,300,False,cuda,25,0.001388141377766927,0.0018348699012276188,35.72329804000901,0.9353333333333333,0.0010925678507486976,0.009447810872395832,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,512,300,True,cuda,25,0.0014184020996093748,0.0018645720255691034,41.087117439999474,0.9336,0.0010554721408420138,0.008740071614583334,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,ares,1024,60,False,cuda,25,5.44420878092448e-05,5.7452082716625085e-05,25.641627839995635,0.9993333333333334,7.947947184244791e-05,0.0009199816385904948,ft_combined,0,169.770302458,combined,E3_full_cov
