model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps,winkler,training_mode,ft_epochs,ft_time_s,ft_train_machines,experiment
chronos2-ft-E3_full_cov,homelab,512,60,False,cuda,25,0.0002277545928955,0.0003084219538962,32.61449832000153,0.9786666666666668,0.0002407825893825,0.0024729658762613,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,60,True,cuda,25,0.000267562230428,0.000347475401035,31.086778839996896,0.9646666666666668,0.0002455181121826,0.0023449605305989,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,120,False,cuda,25,0.007357611020406,0.0117342666083349,29.68921436000528,0.9306666666666664,0.0073670040766398,0.0737170060475667,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,120,True,cuda,25,0.0073782958984374,0.0117588818751626,32.52558571999543,0.9046666666666664,0.0073778774685329,0.0737766825358072,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,300,False,cuda,25,0.0129872865041096,0.0165395495013637,35.73441219999495,0.9078666666666668,0.0129318608093261,0.129041479619344,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,512,300,True,cuda,25,0.0130133525848388,0.0165733459147485,40.80987767999886,0.8772,0.0129898417409261,0.1297808631896972,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,60,False,cuda,25,0.0119399178822835,0.0151558267296455,25.64339848000145,0.94,0.0119679597218831,0.1198198064168294,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,60,True,cuda,25,0.0121147994995117,0.0153274632344701,30.554590680003457,0.8266666666666665,0.0120072691599527,0.1195350399017334,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,120,False,cuda,25,0.0198473072052002,0.026795801054591,31.2584730000026,0.917,0.0207917391035291,0.2126395505269368,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,120,True,cuda,25,0.0197119420369466,0.0265824324781449,35.99432288000344,0.8816666666666666,0.0217556231816609,0.2277746375401814,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,300,False,cuda,25,0.0386480953216552,0.0470697527844205,39.41657555999427,0.7639999999999999,0.0391328463575575,0.3937522187550863,ft_combined,0,169.770302458,combined,E3_full_cov
chronos2-ft-E3_full_cov,homelab,1024,300,True,cuda,25,0.0384410648345947,0.046781368818184,42.050469239991344,0.7324,0.0386185367838541,0.3870727275848389,ft_combined,0,169.770302458,combined,E3_full_cov
