model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps,winkler,training_mode,ft_epochs,ft_time_s,ft_train_machines,experiment
moirai-1.1-ft-E3_cov20,homelab,512,60,False,cuda,25,0.01653795305887858,0.020367452761904145,39.56313328000306,0.4093333333333334,0.013673589784622202,0.11088823712666858,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,512,60,True,cuda,25,0.002329705556233724,0.0031211813716519408,38.99309692001225,0.9280000000000002,0.0020602305692036913,0.018149851862589435,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,512,120,False,cuda,25,0.0339390754699707,0.042767525824214545,34.013164040002266,0.424,0.03759468549187979,0.4007759891192121,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,512,120,True,cuda,25,0.011773792266845703,0.01744659927722322,29.552498199991533,0.8683333333333333,0.011368755438486733,0.10883518543243405,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,512,300,False,cuda,25,0.03462218462626139,0.04027996100578943,29.816276679985094,0.47786666666666666,0.049018453240203874,0.6155347176742559,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,512,300,True,cuda,25,0.016288829294840493,0.019948723493347933,27.81288407998545,0.7933333333333333,0.01619135224444071,0.15948784290313717,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,1024,60,False,cuda,25,0.013004346847534178,0.01635282935522979,28.231147080009578,0.8220000000000001,0.012676068878809604,0.12407802861531556,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,1024,60,True,cuda,25,0.0123509521484375,0.015574316706939942,28.564906160004284,0.7833333333333333,0.01215568227704365,0.12009967524210591,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,1024,120,False,cuda,25,0.020005677541097007,0.02681567641760458,28.38478488000419,0.8540000000000001,0.019987720079739885,0.1998916406313577,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,1024,120,True,cuda,25,0.019935253143310544,0.026721423005908466,29.053696320002018,0.8303333333333334,0.019698611129124955,0.1956087409655251,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,1024,300,False,cuda,25,0.038896254857381185,0.047648553606988144,28.847078080002575,0.616,0.03855946806589763,0.3822775678634644,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,homelab,1024,300,True,cuda,25,0.03860497639973958,0.04690012096408027,29.1681388400184,0.5769333333333333,0.03836596739514669,0.38143281230926535,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,chameleon,512,60,False,cuda,25,0.012134302775065104,0.013644638686874986,29.443992840001556,0.7433333333333333,0.011748275975545229,0.1143104894002274,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,chameleon,512,60,True,cuda,25,0.012403060913085939,0.014065232701560921,31.115554959983456,0.728,0.012523195709228475,0.12293303324381416,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,chameleon,512,120,False,cuda,25,0.019617749532063803,0.02303697875031568,38.118709239988675,0.6733333333333335,0.019748928947448726,0.19077074813842768,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,chameleon,512,120,True,cuda,25,0.016188568115234378,0.019136391961952916,43.67616683999131,0.727,0.015751953895568858,0.14781694590250674,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,chameleon,512,300,False,cuda,25,0.023942224121093748,0.02993129964914145,39.82050128000992,0.5416,0.024715800309244886,0.24603616933187086,ft_combined,14,270.702590624,combined,E3_cov20
moirai-1.1-ft-E3_cov20,chameleon,512,300,True,cuda,25,0.024882562255859376,0.030824638668214735,31.998947800007045,0.5737333333333333,0.021831042213948593,0.1922465308634446,ft_combined,14,270.702590624,combined,E3_cov20
