model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps,winkler,training_mode,ft_epochs,ft_time_s,ft_train_machines,experiment
timesfm-2.5-ft-E1_uni_uni,homelab,512,60,False,cuda,25,0.0005275974273681642,0.0006758577576831339,127.2178962399903,0.828,0.0006438035329182942,0.007394636789957682,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,512,60,True,cuda,25,0.0038584842080653953,0.005165254393956571,258.67703480003,,,,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,512,120,False,cuda,25,0.007392137527465819,0.011779272418881777,117.42084007999438,0.7933333333333333,0.0076967886861165355,0.07645309321085611,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,512,120,True,cuda,25,0.01217418184310469,0.017895096310789525,136.58945504002077,,,,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,512,300,False,cuda,25,0.013239573415120443,0.016783947427894966,307.8113080000003,0.7023999999999999,0.014017592363993333,0.13225898068745934,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,512,300,True,cuda,25,0.03403315351051207,0.04108897271647309,324.2570907600202,,,,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,1024,60,False,cuda,25,0.011884745279947914,0.01510160790948828,138.67700479999257,0.4786666666666667,0.011996346117655434,0.12282086944580076,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,1024,60,True,cuda,25,0.02188380526122179,0.02702349668406202,167.91416119997848,,,,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,1024,120,False,cuda,25,0.02010220082600912,0.026975557272576868,139.46740431999388,0.44800000000000006,0.02022337368329366,0.20736456298828124,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,1024,120,True,cuda,25,0.038405370129017215,0.048639708940787195,151.2868463200357,,,,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,1024,300,False,cuda,25,0.03841057306925456,0.0467714711485392,333.6706845599656,0.3501333333333333,0.036540774569193524,0.39459712804158525,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,homelab,1024,300,True,cuda,25,0.17557479459675457,0.23739363894120127,345.49184739999873,,,,ft_combined,,,,E1_uni_uni
timesfm-2.5-ft-E1_uni_uni,chameleon,512,60,False,cuda,25,0.015415196736653645,0.017442862248051166,117.94412251998438,0.2773333333333333,0.014463391927083333,0.14135648600260414,ft_combined,,,,E1_uni_uni
