epoch,train_loss,val_loss
1,0.0035,0.010830165818333626
2,0.0043,0.016112234443426132
3,0.0013,0.011963270604610443
4,0.002,0.011886055581271648
5,0.0029,0.011322653852403164
6,0.0022,0.021813899278640747
7,0.0027,0.013910106383264065
8,0.0048,0.01123758777976036
9,0.0011,0.01264193281531334
10,0.0022,0.010902230627834797
11,0.0043,0.01447600219398737
12,0.0041,
13,0.0035,
14,0.0034,
15,0.0033,
16,0.0031,
17,0.0021,
18,0.0035,
19,0.0052,
20,0.0044,
21,0.0019,
22,0.0055,
23,0.0025,
24,0.006,
25,0.0031,
26,0.0041,
27,0.002,
28,0.0025,
29,0.0065,
30,0.0011,
31,0.0044,
32,0.0024,
33,0.0028,
34,0.0014,
35,0.005,
36,0.002,
37,0.004,
38,0.0029,
39,0.002,
40,0.0045,
41,0.0034,
42,0.0025,
43,0.0046,
44,0.0027,
45,0.0056,
46,0.0045,
47,0.0056,
48,0.0034,
49,0.0053,
50,0.0055,
51,0.0045,
52,0.0044,
53,0.0028,
54,0.005,
55,0.0029,
56,0.0014,
57,0.0018,
58,0.0055,
59,0.0018,
60,0.0031,
61,0.0015,
62,0.0021,
63,0.0016,
64,0.0034,
65,0.0029,
66,0.0025,
67,0.0007,
68,0.005,
69,0.0034,
70,0.0037,
71,0.0027,
72,0.007,
73,0.0027,
74,0.0022,
75,0.004,
76,0.0049,
77,0.0016,
78,0.0037,
79,0.0032,
80,0.0044,
81,0.0027,
82,0.0012,
83,0.0016,
84,0.0017,
85,0.003,
86,0.0036,
87,0.0013,
88,0.0026,
89,0.0048,
90,0.0043,
91,0.0037,
92,0.0056,
93,0.0023,
94,0.0015,
95,0.0029,
96,0.0031,
97,0.0053,
98,0.0044,
99,0.0039,
100,0.0013,
101,0.0018,
102,0.0041,
103,0.001,
104,0.0034,
105,0.0024,
106,0.0029,
107,0.001,
108,0.0029,
109,0.0025,
110,0.0047,
111,0.0036,
112,0.0047,
113,0.0016,
114,0.0035,
115,0.0035,
116,0.0014,
117,0.0033,
118,0.0016,
119,0.0011,
120,0.0039,
121,0.0016,
122,0.0053,
123,0.0025,
124,0.0018,
125,0.0035,
126,0.0032,
127,0.0022,
128,0.0039,
129,0.0034,
130,0.0013,
131,0.0005,
132,0.0011,
133,0.0043,
134,0.0051,
135,0.0033,
136,0.0071,
137,0.0049,
138,0.0046,
139,0.005,
140,0.0043,
141,0.003,
142,0.0029,
143,0.0018,
144,0.0034,
145,0.0015,
146,0.0017,
147,0.0045,
148,0.0055,
149,0.0039,
150,0.0046,
151,0.0024,
152,0.003,
153,0.0028,
154,0.0019,
155,0.0037,
156,0.0037,
157,0.0022,
158,0.0021,
159,0.0032,
160,0.0033,
161,0.0032,
162,0.0021,
163,0.0054,
164,0.0019,
165,0.0023,
166,0.0026,
167,0.0017,
168,0.0017,
169,0.003,
170,0.0022,
171,0.001,
172,0.0012,
173,0.0052,
174,0.0025,
175,0.0039,
176,0.0014,
177,0.0014,
178,0.0038,
179,0.0028,
180,0.0025,
181,0.0025,
182,0.0057,
183,0.0035,
184,0.0031,
185,0.0009,
186,0.0043,
187,0.0014,
188,0.0072,
189,0.0015,
190,0.003,
191,0.002,
192,0.0057,
193,0.0037,
