epoch,train_loss,val_loss
1,0.0051,0.010526402853429317
2,0.0049,0.010953507386147976
3,0.0019,0.010180546902120113
4,0.0026,0.010776981711387634
5,0.0036,0.012427354231476784
6,0.0028,0.01085981447249651
7,0.0035,0.011578783392906189
8,0.0051,0.010107924230396748
9,0.0015,0.010119139216840267
10,0.0024,0.010688338428735733
11,0.0038,0.010118232108652592
12,0.0025,0.010513859800994396
13,0.0015,0.010095086880028248
14,0.002,0.010121594183146954
15,0.0022,0.010704448446631432
16,0.003,0.01055669691413641
17,0.0019,0.012085789814591408
18,0.0029,0.0104155782610178
19,0.0049,0.010255473665893078
20,0.0042,0.011390823870897293
21,0.0028,0.01032276265323162
22,0.0069,0.010879108682274818
23,0.0035,0.01001352071762085
24,0.008,0.010085116140544415
25,0.0035,0.009965748526155949
26,0.0046,0.010513602755963802
27,0.0036,0.01018139161169529
28,0.0042,0.010310901328921318
29,0.0073,0.009959611110389233
30,0.003,0.010465999133884907
31,0.0052,0.010284772142767906
32,0.0031,0.010199490003287792
33,0.0043,0.010629634372889996
34,0.0016,0.010019629262387753
35,0.0049,0.009931255131959915
36,0.0022,0.010276448912918568
37,0.0035,0.009937587194144726
38,0.0028,0.009909008629620075
39,0.0021,0.009936566464602947
40,0.0044,0.009853038005530834
41,0.0007,0.009905646555125713
42,0.0018,0.009906381368637085
43,0.0044,0.009998003952205181
44,0.0024,0.010028226301074028
45,0.0047,0.009921487420797348
46,0.0034,0.009894889779388905
47,0.0042,0.009862087666988373
48,0.0023,0.00992473866790533
49,0.0048,0.009867902845144272
50,0.0033,0.009837313555181026
51,0.0012,
52,0.0027,
53,0.0023,
54,0.0045,
55,0.002,
56,0.0011,
57,0.0018,
58,0.0052,
59,0.0015,
60,0.003,
61,0.001,
62,0.0018,
63,0.001,
64,0.0034,
65,0.0027,
66,0.0023,
67,0.0006,
68,0.0047,
69,0.0027,
70,0.0029,
71,0.0021,
72,0.0065,
73,0.0025,
74,0.0019,
75,0.0032,
76,0.0047,
77,0.0016,
78,0.004,
79,0.0034,
80,0.0047,
81,0.0032,
82,0.0035,
83,0.0032,
84,0.0034,
85,0.0036,
86,0.0041,
87,0.001,
88,0.0033,
89,0.0056,
90,0.0063,
91,0.0057,
92,0.0062,
93,0.0029,
94,0.0027,
95,0.0035,
96,0.0045,
97,0.0057,
98,0.0055,
99,0.0045,
100,0.0016,
101,0.0046,
102,0.006,
103,0.0014,
104,0.0042,
105,0.0046,
106,0.0037,
107,0.0014,
108,0.0034,
109,0.0036,
110,0.0063,
111,0.0041,
112,0.0057,
113,0.0015,
114,0.0037,
115,0.0039,
116,0.0014,
117,0.0033,
118,0.0014,
119,0.0015,
120,0.0045,
121,0.0014,
122,0.0044,
123,0.0023,
124,0.0019,
125,0.0029,
126,0.0035,
127,0.0023,
128,0.0034,
129,0.0026,
130,0.0014,
131,0.0007,
132,0.0006,
133,0.004,
134,0.0027,
135,0.0027,
136,0.0028,
137,0.0036,
138,0.001,
139,0.0025,
140,0.003,
141,0.0026,
142,0.0022,
143,0.0019,
144,0.003,
145,0.0006,
146,0.0013,
147,0.0042,
148,0.006,
149,0.0043,
150,0.0047,
151,0.0015,
152,0.0027,
153,0.0025,
154,0.002,
155,0.0037,
156,0.0036,
157,0.0016,
158,0.0017,
159,0.0016,
160,0.0027,
161,0.0028,
162,0.0017,
163,0.0063,
164,0.0019,
165,0.002,
166,0.0026,
167,0.0016,
168,0.0011,
169,0.0025,
170,0.0018,
171,0.0013,
172,0.0011,
173,0.0052,
174,0.0025,
175,0.004,
176,0.0015,
177,0.0029,
178,0.0062,
179,0.0028,
180,0.0044,
181,0.0029,
182,0.0058,
183,0.0028,
184,0.0033,
185,0.0022,
186,0.005,
187,0.0017,
188,0.0079,
189,0.0013,
190,0.004,
191,0.0032,
192,0.0067,
193,0.004,
194,0.0037,
195,0.0016,
196,0.0059,
197,0.0012,
198,0.0057,
199,0.0029,
200,0.0036,
201,0.004,
202,0.0022,
203,0.0009,
204,0.0029,
205,0.0057,
206,0.0041,
207,0.002,
208,0.0013,
209,0.0051,
210,0.003,
211,0.0032,
212,0.0053,
213,0.0043,
214,0.0022,
215,0.0043,
216,0.0027,
217,0.0036,
218,0.0014,
219,0.0039,
220,0.0042,
221,0.0037,
222,0.0016,
223,0.0062,
224,0.0049,
225,0.0006,
226,0.0034,
227,0.0024,
228,0.0013,
229,0.0033,
230,0.0035,
231,0.0016,
232,0.0018,
233,0.0024,
234,0.0008,
235,0.0038,
236,0.0032,
237,0.0022,
238,0.0028,
239,0.0023,
240,0.0013,
241,0.0024,
242,0.0024,
243,0.0044,
244,0.0029,
245,0.0058,
246,0.0021,
247,0.0022,
248,0.005,
249,0.0035,
250,0.0041,
251,0.0043,
252,0.0019,
253,0.0026,
