model,machine,context_length,horizon,with_covariates,device,n_samples,mae,rmse,inference_ms,coverage,crps,winkler,training_mode,ft_epochs,ft_time_s,ft_train_machines,experiment
granite-ttm-ft-E1_univariate,ares,512,60,False,cuda,25,0.0008480758666992,0.001238835604594,4.860167639926658,,,,ft_combined,0,1154.11482526,combined,E1_univariate
granite-ttm,ares,512,60,False,cuda,25,1.3208377024332685,1.4545671692934596,4.810638679994099,,,,zero_shot,,,,
granite-ttm-ft-E1_univariate,ares,512,96,False,cuda,25,0.0009648704528808,0.0013805638777908,5.332964159824769,,,,ft_combined,0,1154.11482526,combined,E1_univariate
granite-ttm,ares,512,120,False,cuda,25,2.06005988629659,2.2597908463015925,5.173618319998923,,,,zero_shot,,,,
granite-ttm,ares,512,300,False,cuda,25,2.824561004892985,2.951777445357738,5.513753720003933,,,,zero_shot,,,,
granite-ttm,ares,1024,60,False,cuda,25,0.0040572916666666,0.0043856061971614,5.105481360001249,,,,zero_shot,,,,
granite-ttm,ares,1024,120,False,cuda,25,0.0070270792643229,0.0075457267038091,4.851270399998384,,,,zero_shot,,,,
granite-ttm,ares,1024,300,False,cuda,25,0.0072007354736328,0.0076107186759264,8.077229599998645,,,,zero_shot,,,,
granite-ttm,ares,1800,60,False,cuda,25,0.0040262908935546,0.0043620630205571,6.853473239997356,,,,zero_shot,,,,
granite-ttm,ares,1800,120,False,cuda,25,0.0056715323130289,0.0060911282849515,6.4784726400012005,,,,zero_shot,,,,
granite-ttm,ares,1800,300,False,cuda,25,0.0069060493469238,0.0073308065242154,6.644767839998167,,,,zero_shot,,,,
granite-ttm,ares,3600,60,False,cuda,25,0.0037551180521647,0.0040702108859774,6.065680840002869,,,,zero_shot,,,,
granite-ttm,ares,3600,120,False,cuda,25,0.0052110945383707,0.0055811720928552,6.94874671999969,,,,zero_shot,,,,
granite-ttm,ares,3600,300,False,cuda,25,0.0055497861226399,0.0057243284577279,7.611240440003257,,,,zero_shot,,,,
granite-ttm-ft-E1_univariate,ares-comp-10,512,60,False,cuda,25,0.1711884218851725,0.270178074795082,4.921397639991483,,,,ft_combined,0,1154.11482526,combined,E1_univariate
granite-ttm,ares-comp-10,512,60,False,cuda,25,1.5419298159281414,1.7404359281687545,7.743811399999458,,,,zero_shot,,,,
granite-ttm-ft-E1_univariate,ares-comp-10,512,96,False,cuda,25,0.2197877224286397,0.347915589359247,4.822127239822294,,,,ft_combined,0,1154.11482526,combined,E1_univariate
granite-ttm,ares-comp-10,512,120,False,cuda,25,2.7306397326787315,3.0252710796523137,7.843839320004236,,,,zero_shot,,,,
granite-ttm,ares-comp-10,512,300,False,cuda,25,3.670305283737183,3.850563016446821,5.670583960001068,,,,zero_shot,,,,
granite-ttm,ares-comp-10,1024,60,False,cuda,25,0.0548583386739095,0.0877762443307609,4.8873840000010205,,,,zero_shot,,,,
granite-ttm,ares-comp-10,1024,120,False,cuda,25,0.0753046207427978,0.1007166692640439,5.591523559999132,,,,zero_shot,,,,
granite-ttm,ares-comp-10,1024,300,False,cuda,25,0.0827983418782552,0.1345537299891832,4.953088520002211,,,,zero_shot,,,,
granite-ttm,ares-comp-10,1800,60,False,cuda,25,0.0543156331380208,0.0685584366092198,4.859656920000361,,,,zero_shot,,,,
granite-ttm,ares-comp-10,1800,120,False,cuda,25,0.1118167858123779,0.2963990445994146,4.816886720000184,,,,zero_shot,,,,
granite-ttm,ares-comp-10,1800,300,False,cuda,25,0.1537118654886881,0.299658192278643,4.918353959998285,,,,zero_shot,,,,
granite-ttm,ares-comp-10,3600,60,False,cuda,25,0.1128146438598632,0.2838354358903827,4.879643239997904,,,,zero_shot,,,,
granite-ttm,ares-comp-10,3600,120,False,cuda,25,0.0847779935201009,0.2145582120233711,5.53678539999737,,,,zero_shot,,,,
granite-ttm,ares-comp-10,3600,300,False,cuda,25,0.0906880348205566,0.171642698205451,4.887599199998931,,,,zero_shot,,,,
granite-ttm-ft-E1_univariate,chameleon,512,60,False,cuda,25,0.0156895039876302,0.0175186011698105,4.937493640100001,,,,ft_combined,0,1154.11482526,combined,E1_univariate
granite-ttm,chameleon,512,60,False,cuda,25,2.8575027872721352,3.162355871430462,4.745969200000104,,,,zero_shot,,,,
granite-ttm-ft-E1_univariate,chameleon,512,96,False,cuda,25,0.0149359607696533,0.0167168702039928,5.089361919890507,,,,ft_combined,0,1154.11482526,combined,E1_univariate
granite-ttm,chameleon,512,120,False,cuda,25,4.494013080596924,4.9457683813222255,5.000876400000038,,,,zero_shot,,,,
granite-ttm,chameleon,512,300,False,cuda,25,6.145796415201824,6.423443730034344,4.852982440000915,,,,zero_shot,,,,
